REAL DATA,TREE0008.1,TREE0008.5,TREE0008.9,TREE0004.1,TREE0004.5,TREE0004.9,TREE0002.1,TREE0002.5,TREE0002.9,TREE0001.1,TREE0001.5,TREE0001.9
0.14763966,0.047207921,0.055500173,0.083459144,0.04687658,0.056754327,0.090753824,0.049857325,0.061165785,0.088808864,0.044111037,0.062753175,0.085974451
0.199837815,0.05080677,0.064188372,0.089472726,0.049017886,0.05804517,0.080078718,0.050229998,0.063576888,0.088158514,0.052382253,0.05588272,0.080138424
0.205325818,0.054398947,0.062084282,0.086477383,0.049855347,0.061199384,0.08462486,0.047582215,0.063696081,0.094149964,0.04926859,0.062263509,0.082775138
0.100471434,0.04753031,0.058916852,0.087868185,0.050526917,0.060796908,0.086287654,0.046143527,0.058871848,0.091514923,0.050924057,0.065679759,0.087118021
0.214866497,0.048817069,0.06092503,0.081629213,0.04794565,0.063508787,0.090514438,0.050603418,0.056917504,0.08445481,0.045558083,0.061580854,0.088685335
0.10287041,0.048763139,0.05736556,0.090014547,0.044205677,0.056331106,0.078785705,0.047315177,0.060066618,0.08838095,0.048765756,0.055036735,0.087529798
0.029938114,0.052533303,0.063622938,0.101256086,0.051217721,0.054649735,0.081761378,0.048777742,0.060903365,0.095953703,0.048361697,0.063064917,0.086286463
0.030700887,0.047415707,0.061527041,0.097698728,0.049875701,0.063220838,0.085192621,0.046621351,0.067972301,0.089158511,0.048404737,0.063400416,0.097473014
0.032922453,0.054074934,0.06322587,0.09010085,0.050263374,0.06535558,0.086727756,0.051061017,0.051600409,0.090181772,0.053660243,0.061272014,0.080826515
0.035969968,0.049239649,0.063567859,0.082937519,0.04700579,0.063232211,0.093526839,0.053154157,0.068464151,0.086506436,0.047046903,0.066896363,0.087788647
0.1858445,0.047826283,0.063114841,0.089595787,0.051804242,0.066442177,0.08812274,0.046524532,0.059901697,0.085399467,0.046384744,0.065448888,0.093275788
0.036590338,0.04751964,0.061977526,0.100909358,0.051818796,0.062921337,0.091198983,0.047272783,0.061059198,0.100294191,0.047665922,0.064997325,0.089506886
0.029966519,0.05151594,0.062654652,0.091136262,0.050895581,0.057804858,0.088173782,0.047571719,0.060186444,0.091457808,0.048873094,0.062604583,0.085430189
0.044662835,0.054994187,0.057074988,0.091448384,0.045536653,0.061314107,0.09055301,0.048829021,0.064543294,0.085633,0.049561963,0.0556935,0.080715891
0.052668223,0.047564119,0.064529464,0.09446905,0.048882694,0.058759793,0.082567245,0.051282459,0.060747238,0.085067453,0.048996884,0.063286703,0.086122755
0.104558535,0.050962142,0.059263407,0.092649098,0.04719711,0.056024507,0.092482905,0.051979412,0.058861679,0.088159312,0.048101244,0.066037899,0.083227419
0.043636935,0.049339916,0.061249898,0.093837846,0.047264136,0.058593283,0.093584567,0.047146579,0.06085911,0.080811868,0.047951047,0.060346532,0.087374345
