inflation parameter,type,proportion
0.5,Dayhoff-6 Recoded,0.141
0.5,Dayhoff,0.031
0.6,Dayhoff,0.05
0.6,Dayhoff-6 Recoded,0.154
0.7,Dayhoff,0.058
0.7,Dayhoff-6 Recoded,0.155
0.8,Dayhoff,0.081
0.8,Dayhoff-6 Recoded,0.163
0.9,Dayhoff-6 Recoded,0.159
0.9,Dayhoff,0.135
